baseMean log2FoldChange lfcSE stat pvalue padj
Phel_contig_10155 119.980625844103 1.53347720933397 0.509297343042192 3.01096644285248 0.00260417630820409 0.0199974566740871
Phel_contig_10156 243.798360832583 -1.73571787290651 0.481799472923011 -3.60257320826059 0.000315082622561153 0.00384441007283866
Phel_contig_10157 457.965880020653 -2.18618297518859 0.468616084852745 -4.66518979150185 3.0833231913143e-06 8.13772940141736e-05
Phel_contig_10159 333.229684171214 -1.726331085474 0.416656880661948 -4.14329191619578 3.42355707913594e-05 0.000621356329640392
Phel_contig_10160 163.35831656403 -1.35888214484481 0.478165735664241 -2.8418643233755 0.00448505742183803 0.0301319651447982
Phel_contig_10161 47.7332349044404 -2.54253417244233 0.793797306749584 -3.20300176231817 0.00136003148777499 0.0121324267791972
Phel_contig_10165 435.071834734386 3.26499456226836 0.539973309971326 6.04658508481047 1.47948116194504e-09 9.67204982212302e-08
Phel_contig_10172 49.6474630690602 -2.46307191400532 0.632903697836162 -3.89170093716679 9.95438990330989e-05 0.00149885892352272
Phel_contig_10178 712.298216273985 -2.59305879561719 0.523158468173175 -4.95654558488164 7.17575375978461e-07 2.29395106895242e-05
Phel_contig_10182 17.3431113640648 3.70429685401673 1.19447168631051 3.10120105522015 0.00192737375878156 0.0159176705991245
Phel_contig_1019 1731.73412320662 1.6788795866909 0.467334155570742 3.59246069793579 0.00032757007081158 0.00396229812508429
Phel_contig_10198 95.4883304727112 1.81199660438404 0.50119849290767 3.61532732046312 0.000299968370191696 0.00370730591479573
Phel_contig_10208 26.8479420932029 4.11963123645919 0.839315658111931 4.90832167450139 9.18591001126375e-07 2.83322019189051e-05
Phel_contig_1021 738.986274969809 2.97894156939424 0.549173433542 5.42440946238238 5.8146453056961e-08 2.50424764111236e-06
Phel_contig_10214 272.205171173867 -1.85181606899421 0.422649166391953 -4.38144971348858 1.17892255040163e-05 0.000253047304568351
Phel_contig_10224 17.2754195021612 3.04827069321277 0.821067715146606 3.7125691791066 0.000205165956866048 0.00270235811063075
Phel_contig_1023 175.433198906664 -1.10449990904917 0.410949790840683 -2.68767604623838 0.00719511634350528 0.0433045128142013
Phel_contig_10235 238.896644436903 -1.81030972305715 0.469039122168349 -3.85961348957025 0.000113566505971474 0.00167875717014052
Phel_contig_10244 44.5932150538672 2.86744078478514 0.737107699046651 3.89012458897634 0.000100192767810572 0.00150539633635384
Phel_contig_10247 86.1689630634476 1.59346904850058 0.543252441182203 2.93320181872159 0.00335485736461448 0.0240225784488197
Phel_contig_10256 29.0294133855627 -2.27960692612754 0.82764423513359 -2.75433190899902 0.00588120915876719 0.0371059492065591
Phel_contig_10261 66.0462153459919 2.57923651098005 0.751825017646535 3.43063405771455 0.000602172346268274 0.00644540243635059
Phel_contig_10262 73.6835986039648 1.95204077974208 0.573218577575422 3.40540390019938 0.000660662614282079 0.00691051123392518
Phel_contig_10263 177.203163603303 1.26411627582897 0.45975631487547 2.74953542763491 0.00596798110504298 0.037507165385294
Phel_contig_10267 137.504608895085 2.52767469893356 0.68041272374365 3.71491392022509 0.000203272879565465 0.00268246237243385
Phel_contig_1027 4012.26001947621 1.55018810070104 0.41030668500885 3.77812050678045 0.00015801641654968 0.00219542623654063
Phel_contig_10279 62.545237178926 2.3687439514773 0.761419377131685 3.11095832680344 0.00186481254379708 0.0155474957823113
